
twoskirtnon.OUT (severely abridged), buckling load factors

 ***** EIGENVALUES AND MODE SHAPES *****
  EIGENVALUE(CIRC. WAVES)
 =======================================
    4.9565E+00(     3); IFAILD= 0
    4.9474E+00(     5); IFAILD= 0
    4.9337E+00(     7); IFAILD= 0
    4.9157E+00(     9); IFAILD= 0
    4.8953E+00(    11); IFAILD= 0
    4.8748E+00(    13); IFAILD= 0
    4.8539E+00(    15); IFAILD= 0
    4.8283E+00(    17); IFAILD= 0
    4.7552E+00(    19); IFAILD= 0
    4.6196E+00(    21); IFAILD= 0
    4.4872E+00(    23); IFAILD= 0
    4.3846E+00(    25); IFAILD= 0
    4.3138E+00(    27); IFAILD= 0
    4.2727E+00(    29); IFAILD= 0
    4.2590E+00(    31); IFAILD= 0
    4.2703E+00(    33); IFAILD= 0
    4.3044E+00(    35); IFAILD= 0
    4.3596E+00(    37); IFAILD= 0
    4.4343E+00(    39); IFAILD= 0
    4.5271E+00(    41); IFAILD= 0
    4.6368E+00(    43); IFAILD= 0
    4.7625E+00(    45); IFAILD= 0
    4.9032E+00(    47); IFAILD= 0
    5.0581E+00(    49); IFAILD= 0
    5.2267E+00(    51); IFAILD= 0
    5.4082E+00(    53); IFAILD= 0
    5.6021E+00(    55); IFAILD= 0
    5.8082E+00(    57); IFAILD= 0
    6.0258E+00(    59); IFAILD= 0
    6.2548E+00(    61); IFAILD= 0
    6.4947E+00(    63); IFAILD= 0
    6.7454E+00(    65); IFAILD= 0
    7.0065E+00(    67); IFAILD= 0
    7.2779E+00(    69); IFAILD= 0
    7.5595E+00(    71); IFAILD= 0
    7.7932E+00(    73); IFAILD= 0
    8.0042E+00(    75); IFAILD= 0
    8.2235E+00(    77); IFAILD= 0
    8.4519E+00(    79); IFAILD= 0
    8.6897E+00(    81); IFAILD= 0
    8.9369E+00(    83); IFAILD= 0
    9.1933E+00(    85); IFAILD= 0
    9.4580E+00(    87); IFAILD= 0
    9.7298E+00(    89); IFAILD= 0
    1.0007E+01(    91); IFAILD= 0
    1.0287E+01(    93); IFAILD= 0
    1.0570E+01(    95); IFAILD= 0
    1.0858E+01(    97); IFAILD= 0
    1.1153E+01(    99); IFAILD= 0
 =======================================
